latin_name,english_name,french_name,url,light_from,light_to,bloom_start,bloom_end,soil_humidity_min,soil_humidity_max,min_height,max_height,size,stratification_detail,stratification_duration,sowing_depth,sowing_period,sharing_priority,harvesting_start,harvesting_end,harvesting_indicator,harvesting_mean,seed_head,remove_non_seed_material,viability_test,seed_storage,one_cultivar,packaging_measure,dormancy,seed_preparation,hyperlink,envelope_label_link,harvesting_video_link,seed_picture_link,pods_seed_head_picture_link,seed_storage_label_info,notes,germinate_easy,rock_garden,rain_garden,pond_edge,shoreline_rehab,container_suitable,ground_cover,garden_edge,woodland_garden,wind_break_hedge,erosion_control
Lilium philadelphicum,Wood lily ,Lis de Philadelphie,https://www.prairiemoon.com/lilium-philadelphicum-prairie-lily-prairie-moon-nursery.html,Full Sun,Part Shade,7,8,Dry,Medium,12,36,"1-3’ tall, 0.75-1’ wide",Cold moist 60d,60,Just below surface,,1 - Give in priority,9,9,Pods are slightly open and seeds inside are dark,Shake seed head in paper bag,Pod,No,"Put seed in front of light, if you can clearly see that the middle is opaque, you can donate. If the middle is translucent, do not donate","Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=LILIUM%20PHILADELPHICUM,https://docs.google.com/document/d/1qcDguLG1q8mh-p-Sc5IZ7_AbcTL9ZcILHahoPoRd-rI/edit?usp=sharing,mimu,,,,,,,,,,,,,,,
Linum lewisii,Lewis' wild blue flax ,Lin de Lewis,https://www.wildflower.org/gallery/result.php?id_image=69268,Full Sun,Part Shade,5,6,Medium,,12,36,"1-3’ tall, 1-2’ wide",,,⅛”,Spring,1 - Give in priority,7,8,Pods are slightly open and seeds inside are dark,"Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1GDLJtvz6EHvO_Kxgpk-w9TsAYfqzRN0yIhgIaYlQ9ZI/edit?usp=sharing,,,,,,,,,,,,,,,,
Liriodendron tulipifera,Tulip tree,Tulipier de Virginie,https://plants.ces.ncsu.edu/plants/liriodendron-tulipifera/,Full Sun,Part Shade,5,6,Medium,,840,1560,"70-130’ tall, 30-60’ wide",Cold moist 120d,120,¼”,,1 - Give in priority,10,10,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,Soak for 24h,https://wildplantsfromseed.com/html/speciesdata.php?name=LIRIODENDRON%20TULIPIFERA,https://docs.google.com/document/d/1ybcqavwguDm9KpaaSeXH2paAeNFfGAbiigM9aWv5F5Q/edit,,,,,Harvest the fruit in the fall after they have turned a light tan and before the seeds separate for dispersal,,,,,,,,,,,
Lobelia cardinalis,Cardinal flower,Lobélie cardinale,https://www.prairiemoon.com/lobelia-cardinalis-cardinal-flower-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Medium,Wet,,48,"4’ tall, 6-16” wide",Cold moist 60d,60,Surface,,1 - Give in priority,9,9,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=LOBELIA%20CARDINALIS,https://docs.google.com/document/d/1xH7i73U9dHUwnjvTznodP7MH1cg_bzGoEDVcClOywgA/edit,https://www.youtube.com/watch?v=_DB5mhj7Lug&t=4s,,,,,1,,,,,,,,,,
Lobelia inflata,Inflated tobacco,Lobélie gonflée,https://www.prairiemoon.com/lobelia-inflata-indian-tobacco-prairie-moon-nursery.html,Full Sun,Full Shade,7,10,Medium,Wet,,24,"2’ tall, 6-12’’’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,8,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=LOBELIA%20INFLATA,https://docs.google.com/document/d/195fIth8hO12jKJiUiyEI65p6W8yDC7rfI8qTeQENLPo/edit?usp=sharing,https://www.youtube.com/watch?v=ikB_f_8vjFA,,,,"Do not smoke, is not nicotine (nicotiana)",1,,,,,,,,,,
Lobelia kalmii,Kalm's lobelia ,Lobélie de Kalm,https://www.illinoiswildflowers.info/wetland/plants/kalm_lobelia.html,Full Sun,,7,9,Wet,,6,18,0.5-1.5’ tall,Cold moist 90d,90,Surface,,1 - Give in priority,8,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=LOBELIA%20KALMII,https://docs.google.com/document/d/1YjeyCqfy6j3ZatJrZ5fajpOhuKnDQ355hKWzu3IcEbU/edit?usp=sharing,,,,,Collect only complete or partial fruiting spikes in which most capsules have ripened and begun to split open to release the seeds.,1,,,,,,,,,,
Lobelia siphilitica,Great blue lobelia,Lobélie bleue,https://www.prairiemoon.com/lobelia-siphilitica-great-blue-lobelia-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Medium,Wet,24,36,"2-3’ tall, 1-2’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,10,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=LOBELIA%20SIPHILITICA,https://docs.google.com/document/d/1NeyY8pGAQjTFl-RXnJFRburR-JxCLqvsOpf4ZKBP9dI/edit?usp=sharing,https://youtube.com/shorts/lxNyPYuPpfw?si=XT2J_AI--5U5JAw6,,,,Collect only individual ripe fruit capsules that have started to split open to release the seeds.,1,,,,,,,,,,
Lobelia spicata,Pale-spike lobelia ,Lobélie à épi,https://www.wildflower.org/plants/result.php?id_plant=LOSP,Full Sun,Part Shade,6,8,Medium,,12,24,1-2’ tall,Cold moist 60d,60,Surface,,1 - Give in priority,9,9,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=LOBELIA%20SPICATA,https://docs.google.com/document/d/1JTM0O4lt34zgBqZnCiZWUFwxYJNG_BYV681SogzLNiE/edit?usp=sharing,https://www.youtube.com/watch?v=eZIE7XAZFRc,,,,,1,,,,,,,,,,
Lupinus perennis,Sundial lupine ,Lupin vivace,https://www.prairiemoon.com/lupinus-perennis-wild-lupine-prairie-moon-nursery.html,Full Sun,Part Shade,5,7,Dry,,12,24,"1-2’ tall, 10”-2’ wide",Cold moist 60d,60,¼”,,1 - Give in priority,6,7,Pods are open,"Open the pod, remove seeds",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,Needs scarification if started in fridge,https://wildplantsfromseed.com/html/speciesdata.php?name=LUPINUS%20PERENNIS,https://docs.google.com/document/d/1TKF6qT-1RodNNfiaZ3PSbXCRAcZKvj-c5Ywt4K1olT4/edit,,,,,,,,,,,,,,,,
Lysimachia ciliata,Fringed yellow loosestrife ,Lysimaque ciliée,https://www.prairiemoon.com/lysimachia-ciliata-fringed-loosestrife-prairie-moon-nursery.html,Full Sun,Part Shade,6,8,Medium,Wet,12,36,"1-3’ tall, 2-3’ wide",Cold moist 60d,60,,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",8,10,Pods are brown and slightly open,Cut top edge then shake seeds off in bag or container,Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=LYSIMACHIA%20CILIATA,https://docs.google.com/document/d/1eOlzQRHfzdDs0bcMrQr18iPcBPpHFRvIjqODKHVnakY/edit?usp=sharing,,,,,Ripening is sequential,,,,,,,,,,,
Mentha canadensis,Canada mint,Menthe du Canada,https://gobotany.nativeplanttrust.org/species/mentha/canadensis/,Full Sun,Part Shade,7,8,Medium,Wet,36,48,"3-4’ tall, 3-4’ wide",,,Surface,,1 - Give in priority,9,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Head,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=MENTHA%20CANADENSIS,https://docs.google.com/document/d/1_a5r-cLiSqx1lpmCaZRLVaJLaWxfXOp3F7E9vTVXWgA/edit#heading=h.d0w6r4pabm07,,,,,,1,,,,,,,,,,
Mimulus ringens,Square-stemmed monkeyflower,Mimule à fleurs entrouvertes,https://www.prairiemoon.com/mimulus-ringens-monkey-flower-prairie-moon-nursery.html,Full Sun,Part Shade,6,9,Medium,Wet,12,36,"1-3’ tall, 0.75-1’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=MIMULUS%20RINGENS,https://docs.google.com/document/d/1TuVW-7Ks2FXK23doNT38HxSXpRRhD-LeZeWjxTlIGBQ/edit?usp=sharing,,,,,Ripening is sequential. Collect only ripe capsules that have begun to open at the tip to release the seeds.,1,,1,,,,,,,,
Monarda didyma,Scarlet beebalm ,Monarde écarlate,https://plants.ces.ncsu.edu/plants/monarda-didyma/,Full Sun,Part Shade,7,8,Medium,Wet,24,48,"2-4’ tall, 2-3’ wide",,,Surface,Spring in warm soil,1 - Give in priority,9,9,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)",Cut top edge then shake seeds off in bag or container,Head,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",A dozen (12) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=MONARDA%20DIDYMA,https://docs.google.com/document/d/1wvuKnRgQ40AmrLVGCh38QhnKBiEdr1GBjy9KHUcLjT0/edit#,,,,,,1,,,,,,,,,,
Monarda fistulosa,Wild bergamot,Monarde fistuleuse,https://www.prairiemoon.com/monarda-fistulosa-wild-bergamot-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Dry,Medium,24,48,"2-4’ tall, 2-3’ wide",,,Surface,Spring in warm soil,"No thanks, we have enough already",9,9,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)",Cut top edge then shake seeds off in bag or container,Head,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=MONARDA%20FISTULOSA,https://docs.google.com/document/d/1s3sJGSy5wm4Q-dSe6osDA7Yy_gf4tidd4BnoS83c1JQ/edit?usp=sharing,https://www.youtube.com/watch?v=FeWtcbG24yE&t=8s,,,,,1,,,,,,,,,,
Monarda punctata,Spotted beebalm,Monarde ponctuée,https://www.prairiemoon.com/monarda-punctata-spotted-bee-balm-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Dry,Medium,12,24,"1-2’ tall, 0.75-1’ wide",,,Surface,Spring in warm soil,1 - Give in priority,10,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)",Cut top edge then shake seeds off in bag or container,Head,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1yjsLqZqQfoZhBN7SxnozRox0tQJRRslNH2CWr6vyQwc/edit#,,,,,,1,,,,,,,,,,
Morus rubra,Red mulberry ,Mûrier rouge,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c125,Full Sun,Part Shade,3,4,Medium,,360,600,"30-50’ tall, 30-40’ wide",Cold moist 90d,90,Surface,"Tamp soil, keep moist","2 - Give us seeds in second priority, after donating priority 1 seeds first",6,8,Berries are ripen and easily fall off or have fallen off,"Put berries through strainer to separate seeds, then rinse with water",Berry,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,"Soak in water 4 days, change water each day",https://wildplantsfromseed.com/html/speciesdata.php?name=MORUS%20RUBRA,https://docs.google.com/document/d/1TddnVoX0yHus6zmIZvlYdRCzrdBoTW4K8FJU8XX-9yg/edit?usp=sharing,,,,,"Seeds are ripe when they turn a dark red to purplish black. Berries are very soft, almost mushy.",,,,,,,,,,,
Muhlenbergia mexicana,Mexican muhly,Muhlenbergie du Mexique,https://www.prairiemoon.com/muhlenbergia-mexicana-leafy-satin-grass-prairie-moon-nursery.html,Full Sun,Full Shade,8,9,Medium,,24,24,2’ tall,,,Surface,Direct sow in late spring in warm soil,"No thanks, we have enough already",10,11,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,,https://docs.google.com/document/d/1zQhkeqN6zfrKVygZYkgANhQUasJpERxdc9Wg4H2mAjQ/edit#,,,,,,,,,,1,,,,,,
Nabalus altissimus,Tall rattlesnakeroot ,Prenanthe élevée,https://plants.ces.ncsu.edu/plants/nabalus-altissimus/,Part Shade,,7,9,Medium,,24,96,2-8’ tall,,,,,1 - Give in priority,9,10,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,"Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=NABALUS%20ALTISSIMUS,https://docs.google.com/document/d/1vSg8pYx0k9TD_y3JdcCRtxo6wKvDJrWGh6x0q2iqbv4/edit?usp=sharing,,,,,,,,,,,,,,,,
Oclemena nemoralis,Bog aster,Aster des tourbières,,Full Sun,Part Shade,7,8,Wet,,6,30,"0.5-2.5’ tall, 1.5-2’ wide",,,,,1 - Give in priority,9,9,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=OCLEMENA%20NEMORALIS,https://docs.google.com/document/d/1rGsxxaqNMksva_AV5f6Z3teevx9y4H927lWc71bFK9Y/edit?sharingaction=ownershiptransfer&tab=t.0,,,,,,,,,,,,,,,,
Oenothera biennis,Common evening-primrose,Onagre bisannuelle,https://www.prairiemoon.com/oenothera-biennis-common-evening-primrose-prairie-moon-nursery.html,Full Sun,Part Shade,6,9,Dry,Medium,36,60,"3-5’ tall, 2-3’ wide",,,Surface,Early spring in cool soil,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,10,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",A dozen (12) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=OENOTHERA%20BIENNIS,https://docs.google.com/document/d/1kcgQC_4ZfOneXzkcacCGKFX0srlXVdaZq9KFiW8nuHM/edit,https://www.youtube.com/watch?v=-xmQWG820Vs,,,,,0,,,,,1,,,,,
Oenothera fruticosa,Narrow-leaved evening-primrose ,Onagre frutescente,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b856,Full Sun,,7,9,Dry,Medium,12,30,"1-2.5’ tall, 1-2’ wide",,,Surface,Early spring in cool soil,1 - Give in priority,8,8,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",Six (6) seeds (eyeball),,,,https://docs.google.com/document/d/1KL83cCQBw-jeVIri9_wV0BW8qedaQwSSlu03-00UwfQ/edit?usp=sharing,,,,,,1,,,,,,,,,,
Oenothera gaura,Biennial gaura ,Gaura bisannuel,https://www.prairiemoon.com/gaura-biennis-biennial-gaura-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Dry,,36,72,"3-6’ tall, 0.75-1.5’ wide",,,Surface,Spring,"2 - Give us seeds in second priority, after donating priority 1 seeds first",9,11,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/1p2i-b-42MtTYq40arO6W2Yx89LvqiMo0HEXzDQvvK9w/edit?usp=sharing,,,,,,,,,,,,,,,,
Oenothera parviflora,Small-flowered evening-primrose ,Onagre parviflore,https://www.minnesotawildflowers.info/flower/northern-evening-primrose,Full Sun,,7,10,Dry,,12,48,1-4’ tall,Cold moist 45d,45,Surface,,1 - Give in priority,9,12,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,,,https://docs.google.com/document/d/103Tf_itRRhd77WAppb1GpSSc7apNZuY4kFFwJZKrcJo/edit?usp=sharing,,,,,,,,,,,,,,,,
Oenothera perennis,Perennial evening-primrose ,Onagre vivace,https://illinoiswildflowers.info/prairie/plantx/sm_sundrops.htm,Full Sun,Part Shade,6,8,Dry,Medium,9,24,"0.75-2’ tall, 0.5-1’ wide",,,Just below surface,,1 - Give in priority,7,9,"Pods are brown, seeds are dark, and crisp, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",A dozen (12) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=OENOTHERA%20PERENNIS,https://docs.google.com/document/d/1kPlX-t-Q3zKpLDRKG3u9iyGwMCH3EXoT7TyVePPzKRA/edit,,,,,Ripening is sequential. Collect only ripe capsules that have begun to split open to release the seeds. Tolerates wet soil,,,,,,,,,,,
Opuntia cespitosa,,,https://www.wildflower.org/plants/result.php?id_plant=ophu,,,,,,,,,,,,,,1 - Give in priority,9,10,Berries are ripen and easily fall off or have fallen off,"Put berries through strainer to separate seeds, then rinse with water",Berry,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=OPUNTIA%20HUMIFUSA,https://docs.google.com/document/d/1VB19FK_thNx9Bf5DMBsfQ9EZ6hY9GdnX1zPxNhC9f6k/edit?usp=sharing,,,,,"Wear gloves when handling seeds, preferably rubber gloves.",,,,,,,,,,,
Osmorhiza longistylis,Smooth sweet cicely ,Osmorhize à long style,https://www.wildflower.org/plants/result.php?id_plant=OSLO,Part Shade,,5,6,Medium,,24,36,"2-3’ tall, 1.5-3’ wide",Cold moist 60d,60,,,1 - Give in priority,7,8,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=OSMORHIZA%20LONGISTYLIS,https://docs.google.com/document/d/1X5nRxs6NfwmZP8MWcur2zibz2QuheRQtRms98iMxJjg/edit?sharingaction=ownershiptransfer,,,,,,,,,,,,,,,,
Ostrya virginiana,Eastern hop-hornbeam,Ostryer de Virginie,,Full Sun,Part Shade,4,,Medium,,300,480,"25-40’ tall, 20-30’ wide",Cold moist 60d,60,¼”,,"No thanks, we have enough already",9,9,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",Six (6) seeds (eyeball),,Soak for 24h,https://wildplantsfromseed.com/html/speciesdata.php?name=OSTRYA%20VIRGINIANA,https://docs.google.com/document/d/1fnEPBbS1P2uJFSarfYICvXGuwuHu5vTQj2DuzftF_T0/edit?tab=t.0,,,,,Wear gloves when handling seeds.,,,,,,,,,,,
Packera paupercula,Balsam groundsel ,Séneçon appauvri,https://illinoiswildflowers.info/prairie/plantx/bal_ragwort.html,Full Sun,Part Shade,5,8,Medium,Wet,6,30,0.5-1.5’ tall,,,Surface,,1 - Give in priority,6,7,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=PACKERA%20PAUPERCULA,https://docs.google.com/document/d/1FzPR1llxZ_DG8mThW6_8P_9Z5yyXOXly_83JdbH8GFI/edit?usp=sharing,https://youtu.be/fckEQNbFbGw?si=Cu0kSFIcq6pu6Ozq,,https://drive.google.com/file/d/1ZBD3YNARkFn6HVLh72ePFIP9hdlyjCwL/view?usp=sharing,,,,,,,,,,,,,
Panicum virgatum,Switchgrass ,Panic raide,https://www.prairiemoon.com/panicum-virgatum-switch-grass-prairie-moon-nursery.html,Full Sun,Part Shade,7,9,Dry,Medium,36,72,"3-6’ tall, 2-4’ wide",,,Just below surface,Late spring in warm soil,1 - Give in priority,9,9,Seeds easily fall off when you gently pull them off,Use hand to detach from main stem,Head,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/14k0VgPnlBZmdn_JfxI_Rx12DBn0bfJJsy-g7CnmUphc/edit,,,,,,,,,,,,,,,,
Parthenocissus quinquefolia,Virginia creeper ,Vigne vierge à cinq folioles,https://www.wildflower.org/plants/result.php?id_plant=paqu2,Full Sun,Part Shade,5,7,Medium,,360,600,"30-50’ tall, 5-10’ wide",Cold moist 60d,60,⅜”,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",,0,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",A dozen (12) seeds (eyeball),,Soak for 24h,,https://docs.google.com/document/d/1w3eSTUF3terbnVh_U4Ehg9P8OIRV1KXlZySy2i6N0XE/edit?usp=sharing,https://www.youtube.com/watch?v=jMNV-MBYehw,,,,,,,,,,,,,,,
Penstemon gracilis,,,https://w.wildflower.org/plants/result.php?id_plant=PEGR5,,,,,,,,,,,,,,1 - Give in priority,,0,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",A dozen (12) seeds (eyeball),,,,,,,,,,,,,,,,,,,,
Penstemon hirsutus,Hairy beardtongue,Penstémon hirsute,https://www.prairiemoon.com/penstemon-hirsutus-hairy-beardtongue-prairie-moon-nursery.html,Full Sun,Part Shade,5,6,Dry,Medium,12,24,"1-2’ tall, 1’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,9,9,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)","Cut stem (including pods), let air dry in paper bag, then shake seeds off after a few days",Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",A dozen (12) seeds (eyeball),,,https://wildplantsfromseed.com/html/speciesdata.php?name=PENSTEMON%20HIRSUTUS,https://docs.google.com/document/d/1Nlt4-FJyIlMb3iw_ZkudhvRjOxS0xQHV3uySWayGsnw/edit?usp=sharing,How to harvest Hairy Beardtongue (Penstemon hirsutus) seeds - YouTube,,,,,1,,,,,1,,1,,,
